Student_ID,Fee_Amount,Paid_Status
1,637,Late
2,881,Late
3,276,Paid
4,965,Late
5,602,Paid
6,425,Late
7,871,Paid
8,480,Paid
9,386,Late
10,623,Late
11,366,Paid
12,402,Late
13,625,Late
14,892,Late
15,125,Late
16,847,Paid
17,213,Late
18,735,Late
19,586,Paid
20,268,Late
21,737,Paid
22,435,Paid
23,158,Paid
24,651,Late
25,173,Paid
26,695,Late
27,609,Paid
28,130,Paid
29,122,Paid
30,642,Paid
31,590,Late
32,405,Late
33,476,Late
34,438,Late
35,831,Late
36,140,Paid
37,937,Late
38,582,Late
39,599,Paid
40,253,Paid
41,605,Paid
42,540,Late
43,233,Paid
44,411,Late
45,494,Late
46,455,Late
47,814,Paid
48,941,Paid
49,957,Paid
50,430,Late
51,644,Late
52,855,Paid
53,740,Late
54,434,Paid
55,234,Paid
56,295,Paid
57,715,Late
58,879,Late
59,395,Paid
60,615,Late
61,394,Paid
62,699,Paid
63,876,Late
64,349,Paid
65,447,Late
66,604,Paid
67,956,Paid
68,940,Late
69,709,Late
70,726,Paid
71,544,Paid
72,440,Late
73,868,Paid
74,797,Late
75,445,Late
76,483,Late
77,939,Paid
78,773,Paid
79,447,Late
80,938,Late
81,563,Late
82,135,Paid
83,922,Paid
84,642,Paid
85,259,Late
86,123,Late
87,293,Late
88,425,Late
89,943,Paid
90,721,Paid
91,448,Late
92,750,Paid
93,916,Paid
94,268,Paid
95,918,Paid
96,309,Late
97,360,Paid
98,313,Late
99,398,Paid
100,194,Late
101,995,Late
102,772,Paid
103,250,Paid
104,908,Late
105,144,Paid
106,701,Paid
107,502,Late
108,443,Paid
109,175,Paid
110,468,Paid
111,499,Late
112,853,Paid
113,566,Late
114,195,Paid
115,948,Late
116,421,Late
117,650,Late
118,952,Paid
119,544,Paid
120,220,Paid
121,327,Paid
122,293,Paid
123,973,Late
124,270,Paid
125,502,Late
126,458,Late
127,737,Paid
128,551,Late
129,635,Paid
130,565,Paid
131,146,Late
132,849,Late
133,289,Paid
134,227,Paid
135,337,Late
136,115,Late
137,750,Late
138,903,Late
139,983,Late
140,420,Paid
141,876,Late
142,404,Paid
143,135,Late
144,903,Paid
145,948,Paid
146,537,Paid
147,653,Late
148,564,Paid
149,609,Late
150,707,Late
151,728,Late
152,412,Paid
153,155,Late
154,969,Late
155,239,Paid
